Username,Followers,Posts Checked,Avg Likes,Avg Comments,Avg Reach,Engagement Rate (%)
cristiano,660.47M,3912,4630485,137127,77.77M,0.72%
lilbieber,294.23M,7976,901122,11702,19.75M,0.31%
sarthxxkk,1.1K,54,62,12,2.6K,6.68%
foodmaniabystar,7.5K,405,2074,14,64.3K,27.75%
dillikibite,1.1K,243,0,2,3.4K,0.21%
teaclap,7.4K,878,315,32,14.6K,4.69%
foodie.cops,367,36,50,41,4.7K,24.95%
foodbyjahnvi,4.0K,385,86,24,5.1K,2.79%
melodyaurmeals,5.0K,105,2672,33,75.0K,53.73%
virat.kohli,274.01M,1035,2248387,37572,43.58M,0.83%
